GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
solucao_eletrica_backend,br.com.eletrica.common.util,FieldUtil,0,127,1,25,0,26,1,16,0,4
solucao_eletrica_backend,br.com.eletrica.domain.model.mappers,DadosCircuitoMapper,0,58,0,0,0,14,0,2,0,2
solucao_eletrica_backend,br.com.eletrica.domain.model.infra,DadosBuscaExemploDisjuntor,0,50,0,0,0,10,0,8,0,8
solucao_eletrica_backend,br.com.eletrica.domain.model.infra,DadosExemploCondutor,0,24,0,0,0,5,0,7,0,7
solucao_eletrica_backend,br.com.eletrica.domain.model.infra,DadosConducaoCabos,0,75,0,0,0,16,0,14,0,14
solucao_eletrica_backend,br.com.eletrica.domain.model.infra,DadosBuscaExemploCondutor,0,29,0,0,0,8,0,6,0,6
solucao_eletrica_backend,br.com.eletrica.domain.model.infra,DadosExemploEletroduto,0,31,0,0,0,6,0,9,0,9
solucao_eletrica_backend,br.com.eletrica.domain.model.infra,DadosBuscaFatorTemperatura,0,29,0,0,0,7,0,5,0,5
solucao_eletrica_backend,br.com.eletrica.domain.model.infra,DadosExemploDisjuntor,0,17,0,0,0,4,0,5,0,5
solucao_eletrica_backend,br.com.eletrica.api,DimensionarController,0,245,0,0,0,63,0,7,0,7
solucao_eletrica_backend,br.com.eletrica.domain.model,DadosCircuito,0,106,0,0,0,15,0,27,0,27
solucao_eletrica_backend,br.com.eletrica.infra.dao,ExemplosEletrodutosDao,0,78,0,2,0,21,0,3,0,2
solucao_eletrica_backend,br.com.eletrica.infra.dao,ConducaoCabosDao,0,116,0,2,0,28,0,3,0,2
solucao_eletrica_backend,br.com.eletrica.infra.dao,ExemplosCabosDao,0,84,0,2,0,22,0,3,0,2
solucao_eletrica_backend,br.com.eletrica.infra.dao,ExemplosDisjuntoresDao,0,79,0,2,0,21,0,3,0,2
solucao_eletrica_backend,br.com.eletrica.infra.dao,FatorTemperaturaDao,0,56,0,2,0,16,0,3,0,2
solucao_eletrica_backend,br.com.eletrica.common.constantes,TIPO_CIRCUITO,0,47,0,0,0,9,0,4,0,4
solucao_eletrica_backend,br.com.eletrica.common.constantes,METODO_INSTALACAO,0,81,0,0,0,11,0,3,0,3
solucao_eletrica_backend,br.com.eletrica.common.constantes,TIPO_UTILIZACAO,0,49,0,0,0,9,0,4,0,4
solucao_eletrica_backend,br.com.eletrica.common.constantes,FASES_VOLTAGEM,0,60,0,0,0,10,0,4,0,4
solucao_eletrica_backend,br.com.eletrica.common.constantes,TIPO_CABO,0,69,0,0,0,12,0,5,0,5
solucao_eletrica_backend,br.com.eletrica.domain.model.api.requisicao,DadosEntrada,0,277,0,24,0,42,0,38,0,26
solucao_eletrica_backend,br.com.eletrica.domain.model.api.requisicao,DadosEntradaEletrodutos,0,20,0,0,0,5,0,5,0,5
solucao_eletrica_backend,br.com.eletrica.domain.model.api.requisicao,DadosEntradaDisjuntores,0,30,0,0,0,7,0,7,0,7
